web_scraper_order,web_scraper_start_url,phone,data
"1773234643-1","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","16051874","""""Aa-Dee"""" Machinefabriek en Staalbouw Nederland B.V."
"1773234643-2","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","17037842","""""AAE"""" Advanced Automated Equipment B.V."
"1773234643-3","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","83892869","@EasePay B.V."
"1773234643-4","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","82701695","@Fentures B.V."
"1773234643-5","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","61829420","073 Meeting Company B.V."
"1773234643-6","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","82201811","1 Cube B.V."
"1773234643-7","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","69299544","100 Grams B.V."
"1773234643-8","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","68933223","10X Genomics B.V."
"1773234643-9","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","63719444","12Build Sales B.V."
"1773234643-10","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","34117849","180 Amsterdam BV"
"1773234643-11","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","63748924","2 Getthere B.V."
"1773234643-12","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","30225996","2 Getthere Holding B.V."
"1773234643-13","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","69220085","20Face B.V."
"1773234643-14","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","59575417","21 Markets B.V."
"1773234643-15","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","85586617","21SanSec B.V."
"1773234643-16","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","02076358","247HAIR"
"1773234643-17","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","09163645","247TailorSteel B.V."
"1773234643-18","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","63661438","2525 Ventures B.V."
"1773234643-19","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","08156456","2-B Energy Holding"
"1773234643-20","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","56028458","2Care4Kids Group B.V."
"1773234643-21","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","56027400","2Care4Kids Holding B.V."
"1773234643-22","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","18057952","2Connect B.V."
"1773234643-23","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","87370530","2Impact B.V."
"1773234643-24","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","17172882","2M Engineering Limited"
"1773234643-25","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","66831148","360KAS B.V."
"1773234643-26","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","66674999","361° Europe B.V."
"1773234643-27","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","67524524","365Werk Contracting B.V."
"1773234643-28","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","86686623","3BFAB B.V."
"1773234643-29","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","92219535","3D Communications EU"
"1773234643-30","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","57883424","3D Hubs B.V."
"1773234643-31","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","30168665","3Dimerce B.V."
"1773234643-32","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","76027287","3DM-Engineering"
"1773234643-33","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","60891831","3DUniversum B.V."
"1773234643-34","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","71974210","3esi Netherlands B.V."
"1773234643-35","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","28020725","3M Nederland B.V."
"1773234643-36","https://ind.nl/en/public-register-recognised-sponsors/public-register-regular-labour-and-highly-skilled-migrants","20132450","3P Project Services B.V."
